SELECT * WHERE {?C0 <http://www.w3.org/2002/07/owl#disjointWith> ?C2.
  ?C1 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2. 
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C0.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C1. 
  ?C0 <http://www.w3.org/2002/07/owl#equivalentClass> ?C3. }
C0,C2,C1,a0,C3
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Seattle_Public_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Seattle_Public_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Spain_Library_(Medellín),http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Spain_Library_(Medellín),http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/St._Louis_County_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/St._Louis_County_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Swiss_National_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Swiss_National_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Warsaw_University_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Warsaw_University_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Binglin_Stable,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Binglin_Stable,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/OfficeHolder,http://dbpedia.org/resource/Hibbert_Binney,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,"http://dbpedia.org/resource/Bishop_of_Cork,_Cloyne_and_Ross",http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/resource/Charles_Mackenzie_(bishop),http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/resource/Huyshe_Yeatman-Biggs,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/resource/Stephen_Cottrell,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/resource/Wyn_Evans,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Black_Tie_Dinner,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Black_Tie_Dinner,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Fauve_(collective),http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Fauve_(collective),http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/resource/Bob_Herwig,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/resource/Bob_Kelley_(American_football),http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/resource/Bob_McIntyre_(soccer),http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Bors,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,"http://dbpedia.org/resource/Bourke_Street,_Melbourne",http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,"http://dbpedia.org/resource/Bourke_Street,_Melbourne",http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bowaters_Paper_Railway,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bowaters_Paper_Railway,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
