C0,C2,C1,a0,C3
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bibliothèque_municipale_de_Douai,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bibliothèque_municipale_de_Douai,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bordeaux_municipal_library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Bordeaux_municipal_library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Chicago_Public_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Chicago_Public_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Dallas_Public_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Dallas_Public_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Jagiellonian_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Jagiellonian_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/La_Quintana,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/La_Quintana,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Leiden_University_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Leiden_University_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Longueuil_Public_Libraries_Network,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Longueuil_Public_Libraries_Network,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Luis_Ángel_Arango_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Luis_Ángel_Arango_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Montreal_Children's_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Montreal_Children's_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Montreal_Public_Libraries_Network,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Montreal_Public_Libraries_Network,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Mário_de_Andrade_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Mário_de_Andrade_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Algeria,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Algeria,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Brazil,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Brazil,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Burkina_Faso,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Burkina_Faso,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Colombia,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Colombia,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
