a0,C0,C3,C1,p0,C2,a1
http://dbpedia.org/resource/Brock_Aynsley,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,83.916
http://dbpedia.org/resource/Brett_Sturgess,http://dbpedia.org/ontology/Election,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,113.0
http://dbpedia.org/resource/John_Beaton_(Canadian_football),http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,86.184
http://dbpedia.org/resource/Wayne_Glasgow,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,86.184
http://dbpedia.org/resource/Jack_Wilkinson_(rugby_league),http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,95.2543977
http://dbpedia.org/resource/Kingsley_Bugarin,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,73.0
http://dbpedia.org/resource/Muhammad_Hizlee_Abdul_Rais,http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,70.0
http://dbpedia.org/resource/Nicole_Corriero,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,70.308
http://dbpedia.org/resource/Fenwick_High_School_(Oak_Park_Illinois),http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/address,http://dbpedia.org/ontology/Organisation,505 W. Washington Blvd.
http://dbpedia.org/resource/Floyd_Central_High_School,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/address,http://dbpedia.org/ontology/Organisation,6575 Old Vincennes Rd.
http://dbpedia.org/resource/Monsignor_McClancy_Memorial_High_School,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/address,http://dbpedia.org/ontology/Organisation,71-06 31st Avenue
http://dbpedia.org/resource/Reading_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/address,http://dbpedia.org/ontology/Organisation,800 Washington Street
